# Format: Record Type, Article Id, Linenumber, Text
T;010-04-9660;11;Doloribus alias adipisci libero natus dicta magni sit libero ut quae.;
T;069-84-6850;2;Dolore libero voluptatem laborum maiores quas pariatur tenetur est odio consectetur amet deleniti numquam officiis dignissimos et repellendus dolor blanditiis.;
T;019-78-5441;2;Sed nostrum corrupti est rem dolores commodi quis non placeat quos cumque corrupti recusandae ut ab officiis perferendis quos autem minima ratione.;
T;669-09-9254;2;Atque quos ut consequatur fuga consequuntur ipsa deleniti odio maxime omnis aut maiores eum doloremque natus nihil corporis inventore et sint.;
T;542-89-7781;10;Enim quam culpa explicabo sint similique officia optio quidem dolorem odio molestias velit minima.;
T;435-36-8782;1;Esse error ab praesentium qui voluptates ut vitae vero quia ipsa et veniam velit maiores dignissimos et aut.;
T;669-09-9254;0;Brandy of the Damned
T;010-04-9660;4;Quia sunt enim fuga est nulla qui at adipisci perspiciatis.;
T;010-04-9660;7;Modi omnis ut minus debitis et voluptatem quisquam ut minus consequatur possimus.;
T;542-89-7781;14;Et quis autem corporis cupiditate animi impedit.;
T;542-89-7781;0;The Wives of Bath
T;669-09-9254;10;Sequi occaecati nam possimus molestiae atque nesciunt fugiat est et quo itaque omnis repellat est ut et quia et.;
T;069-84-6850;5;Est ut veritatis cum doloribus ea ratione aut suscipit itaque reprehenderit atque ut nemo maiores.;
T;542-89-7781;1;Adipisci quo quaerat ab soluta rem ullam tempore alias et commodi nobis voluptas facere saepe sed eum nihil.;
T;542-89-7781;5;Voluptates cupiditate laborum dolorem corrupti corrupti sit.;
T;542-89-7781;18;Aut delectus explicabo qui dolor aut nihil fugiat neque ipsa in aut ullam soluta quaerat autem ut.;
T;669-09-9254;9;Totam temporibus possimus et libero velit vel assumenda natus sunt et.;
T;435-36-8782;9;Aperiam possimus ut voluptatibus in voluptatibus at voluptatem at et rerum sit sed ipsum omnis nihil recusandae tempore ipsum aut.;
T;019-78-5441;10;Nulla ipsum repellendus magni enim animi quia quam sunt sunt et autem reiciendis dolor deserunt.;
T;019-78-5441;7;Nostrum placeat magni voluptatem beatae incidunt inventore nostrum similique perferendis dolorem assumenda necessitatibus temporibus corrupti.;
T;669-09-9254;7;Ipsa fuga amet quod dolorem et laudantium cumque alias est qui commodi eligendi sint ut ut quibusdam nesciunt aut.;
T;010-04-9660;13;Fuga nobis eius aut quisquam rerum et exercitationem et dolorum.;
T;000-19-5217;1;Magnam aliquid nihil ut rerum voluptatum vel voluptatem exercitationem et sit quae sint et cupiditate laborum quia inventore culpa reprehenderit omnis cupiditate.;
T;069-84-6850;4;Maxime non et culpa ut voluptatibus placeat molestias veniam.;
T;542-89-7781;6;Inventore quaerat rem nesciunt dicta est debitis blanditiis voluptas qui labore qui error molestiae recusandae placeat pariatur voluptate.;
T;000-19-5217;2;Quaerat veniam possimus dolor qui iure voluptatem consequatur culpa neque iste aut corrupti quaerat repellendus deleniti.;
T;669-09-9254;14;Dolores ipsum accusamus ipsa qui ex sed voluptas aspernatur rerum quia.;
T;435-36-8782;4;Amet et a doloremque voluptate at ex optio asperiores quas distinctio dicta animi ad dolor harum aliquam illum sapiente fugiat blanditiis.;
T;435-36-8782;0;Cover Her Face
T;542-89-7781;11;Aperiam adipisci et aut quos vero repellendus eum fugiat ipsa nulla accusamus enim ad aut quaerat modi.;
T;669-09-9254;3;Distinctio ullam porro illum.;
T;010-04-9660;16;Magni saepe quis ad quos distinctio odio suscipit nihil quos maiores numquam itaque dolorum voluptas rem et.;
T;010-04-9660;17;Error dolores nesciunt qui laboriosam ducimus iusto dolor dolorum in voluptatem sit quo accusantium error mollitia.;
T;435-36-8782;5;Commodi quae nemo harum aut sit nulla molestiae non exercitationem quo excepturi saepe est laborum.;
T;010-04-9660;9;Dicta qui sapiente qui libero et ratione dolorum aperiam et eius debitis ut doloribus doloribus.;
T;010-04-9660;0;Waiting for the Barbarians
T;019-78-5441;5;Neque aliquid et accusantium neque officia tempore quis alias.;
T;435-36-8782;6;Voluptatibus et explicabo aspernatur provident quae non eum a est aut.;
T;669-09-9254;1;Qui rerum quis sunt repudiandae est in omnis consequuntur repellat neque sed veniam mollitia voluptatum quibusdam quis accusamus et voluptas neque eos.;
T;542-89-7781;9;Commodi nostrum eos sunt magnam accusamus quas minima nemo.;
